w_viirs,w_modis,w_landsat,p_85,r_85,f1_85,p_60,r_60,f1_60,p_40,r_40,f1_40
0.05,0.15,0.6,1.0,0.029909860693799507,0.05808248242938602,1.0,0.06748711076208685,0.12644107845743882,0.9998125371020319,0.20486419352635893,0.34005104254667246
0.05,0.15,0.65,1.0,0.030827472002185195,0.05981111842568325,1.0,0.06766849904397705,0.12675938103366258,0.9998125546715542,0.2048833993444414,0.3400775012574473
0.05,0.15,0.7,1.0,0.031510345534007105,0.06109554920206714,1.0,0.06769197282163343,0.12680056522807992,0.9998125644309769,0.20489406924337614,0.3400922001767495
0.05,0.15,0.75,1.0,0.033185519666757715,0.06423922719602444,1.0,0.06847727738322863,0.1281773208147842,0.9998125800439396,0.2049111410816717,0.3401157179061683
0.05,0.15,0.8,1.0,0.03369980879541109,0.06520231213872833,1.0,0.06851142105981972,0.128237133847134,0.9998126015075167,0.20493461485932804,0.34014805369602946
0.05,0.2,0.0,1.0,0.0011246073477192023,0.0022466880535453545,1.0,0.07080758331057088,0.13225080661393535,0.9997881993601391,0.19139237913138488,0.3212809972864781
0.05,0.2,0.05,1.0,0.008015228079759629,0.01590299006698224,1.0,0.07998369639442775,0.1481201922981926,0.9997991054907641,0.2017848606937995,0.33579729573763506
0.05,0.2,0.1,1.0,0.012511523490849495,0.02471383920197441,1.0,0.08462510243102978,0.15604489005713565,0.9998016804968426,0.20440538787216608,0.339418121127614
0.05,0.2,0.15,1.0,0.01582346012018574,0.03115395684662296,1.0,0.08803947009013931,0.1618313903315394,0.9998038669185428,0.2066844782846217,0.3425543917479102
0.05,0.2,0.2,1.0,0.018458925157060914,0.036248737580092956,1.0,0.09045726918874625,0.16590704055014022,0.9998060056564666,0.2089635686970773,0.34567883801754135
0.05,0.2,0.25,1.0,0.020680398115269054,0.04052276923012593,1.0,0.09257844509696804,0.16946782267657048,0.9998078148549002,0.21093109806063917,0.3483667006772152
0.05,0.2,0.3,1.0,0.022650061458617865,0.044296797726314736,1.0,0.09483832969134116,0.17324627229314882,0.9998089684295194,0.21220508399344443,0.3501024525232895
0.05,0.2,0.35,1.0,0.0243508433488118,0.04754395138525767,1.0,0.09614219134116361,0.17541919670755615,0.9998105361826032,0.21396134935809888,0.35248931693417546
0.05,0.2,0.4,1.0,0.025878772876263317,0.050451912176146946,1.0,0.09728600450696531,0.17732114345280117,0.9998118010638193,0.21539965173449876,0.35443891390798243
0.05,0.2,0.45,1.0,0.02746645383774925,0.05346442939359765,1.0,0.09859626809614859,0.1794949991356051,0.9998119202938003,0.21553622644086315,0.3546237989989976
0.05,0.2,0.5,1.0,0.028802325184375855,0.05599195196067247,1.0,0.1004229547937722,0.18251701194763287,0.999812582611612,0.21629805722480197,0.3556543494050732
0.05,0.2,0.55,1.0,0.03012752663206774,0.058492809585561995,1.0,0.10062568287353182,0.18285178047238843,0.9998125955516102,0.21631299508331056,0.35567454337158527
0.05,0.2,0.6,1.0,0.0308914913957935,0.0599316060974903,1.0,0.1023435366020213,0.18568356089335944,0.9998137400988157,0.21764246449057634,0.3574698220870078
0.05,0.2,0.65,1.0,0.031815504643540014,0.06166897958086272,1.0,0.10251638896476373,0.1859680091667828,0.9998137528794785,0.21765740234908496,0.3574899714873042
0.05,0.2,0.7,1.0,0.03248984225621415,0.06293493829482488,1.0,0.10252919284348538,0.1859890758612147,0.9998137674838027,0.2176744741873805,0.3575129987680305
0.05,0.2,0.75,1.0,0.03417568628789948,0.06609261219545914,1.0,0.10332303332422835,0.18729425599486293,0.9998137766103422,0.2176851440863152,0.35752739049061044
0.05,0.25,0.0,1.0,0.004376792543021033,0.008715439415797851,1.0,0.11023285987435127,0.19857610751464644,0.9997525928271712,0.21558104001638898,0.3546807195921749
0.05,0.25,0.05,1.0,0.011493615132477465,0.022726026067840525,1.0,0.1182331500956023,0.21146421939913707,0.9997634837891789,0.2255104479650369,0.3680109488097871
0.05,0.25,0.1,1.0,0.015904551352089593,0.031311113491758406,1.0,0.12273371346626605,0.21863370092868195,0.9997660906258479,0.22802427615405627,0.3713515683238718
0.05,0.25,0.15,1.0,0.01909911909314395,0.03748235816382512,1.0,0.1260797937721934,0.2239269267941405,0.9997683662407694,0.2302649549303469,0.37431769340042353
0.05,0.25,0.2,1.0,0.021664162797049986,0.04240955802489765,1.0,0.12848265501229172,0.22770869262654686,0.9997706590341994,0.2325675191204589,0.3773545054153624
0.05,0.25,0.25,1.0,0.023877099836110353,0.04664055840282453,1.0,0.13058675908221798,0.23100705546600428,0.9997725556556311,0.2345073067467905,0.3799040663756968
0.05,0.25,0.3,1.0,0.025789145725211692,0.050281572646158776,1.0,0.13279329418191751,0.23445282535472353,0.9997737802229623,0.23577702472002185,0.38156858682138417
0.05,0.25,0.35,1.0,0.027445114039879814,0.05342400029908467,1.0,0.1340651461349358,0.23643288322871034,0.9997754504464045,0.23753115610488937,0.3838625241834528
0.05,0.25,0.4,1.0,0.028919694072657744,0.0562137049941928,1.0,0.13518975348265502,0.2381800101135614,0.9997767996643067,0.23896732450150232,0.38573581461037
0.05,0.25,0.45,1.0,0.030537250751160885,0.05926471989033334,1.0,0.1364765432941819,0.2401748528809791,0.9997769271265537,0.2391038992078667,0.38591373202750573
0.05,0.25,0.5,1.0,0.031862452198852774,0.06175716953544595,1.0,0.1382968280524447,0.24298904230289736,0.9997776354644751,0.23986572999180553,0.38690545852580566
0.05,0.25,0.55,1.0,0.033183385686970775,0.06423522899549321,1.0,0.13850169011199126,0.2433051989555979,0.9997776433755514,0.2398742659109533,0.3869165634035523
0.05,0.25,0.6,1.0,0.033930278612400985,0.06563359118941277,1.0,0.14022167782026768,0.24595511653194638,0.9997788686922294,0.24120373531821906,0.3886442837175477
0.05,0.25,0.65,1.0,0.03488630155695165,0.06742054949314989,1.0,0.14039026222343623,0.24621441777258812,0.9997788823831172,0.24121867317672768,0.38866367527979784
0.05,0.25,0.7,1.0,0.03554143335154329,0.06864318936329371,1.0,0.14041160202130565,0.24624723524810727,0.9997788999831964,0.24123787899481017,0.38868860660261073
